parent_taxon_id,taxon_id,rank_level,leaf_class_id,name
71289,51890,30,,Crassulaceae
51890,889256,27,,Sempervivoideae
889256,1092926,25,,Sedeae
1092926,51891,20,,Dudleya
51891,58137,10,187,Dudleya lanceolata
51891,51889,10,607,Dudleya farinosa
51891,76737,10,676,Dudleya pulverulenta
51891,58136,10,1249,Dudleya cymosa
1092926,55735,20,,Sedum
55735,58886,10,329,Sedum spathulifolium
55735,127597,10,886,Sedum ternatum
55735,79025,10,1310,Sedum album
55735,55734,10,1641,Sedum acre
55735,79026,10,1826,Sedum lanceolatum
889256,1092939,25,,Umbilicieae
1092939,72334,20,,Rhodiola
72334,84436,10,550,Rhodiola rosea
72334,78846,10,1258,Rhodiola integrifolia
51890,884712,27,,Crassuloideae
884712,57017,20,,Crassula
57017,76465,10,1942,Crassula ovata
71289,58227,30,,Paeoniaceae
58227,58228,20,,Paeonia
58228,58223,10,201,Paeonia californica
58228,78332,10,1138,Paeonia brownii
71289,60205,30,,Haloragaceae
60205,157549,20,,Haloragis
157549,163516,10,227,Haloragis erecta
60205,60207,20,,Myriophyllum
60207,60202,10,1435,Myriophyllum aquaticum
71289,71593,30,,Penthoraceae
71593,133039,20,,Penthorum
133039,133038,10,424,Penthorum sedoides
71289,48386,30,,Saxifragaceae
48386,50800,20,,Lithophragma
50800,50803,10,426,Lithophragma affine
50800,53124,10,1885,Lithophragma heterophyllum
48386,48385,20,,Heuchera
48385,954874,13,,Holochloa
954874,51274,10,463,Heuchera micrantha
48386,67697,20,,Darmera
67697,67696,10,474,Darmera peltata
48386,51644,20,,Tiarella
51644,51643,10,540,Tiarella trifoliata
51644,53789,10,1150,Tiarella cordifolia
48386,72236,20,,Micranthes
72236,942776,13,,Micranthes
942776,78023,10,1070,Micranthes californica
942776,204176,10,1914,Micranthes virginiensis
48386,52105,20,,Mitella
52105,53793,10,1151,Mitella diphylla
48386,53303,20,,Tolmiea
53303,128848,10,1497,Tolmiea menziesii
48386,51656,20,,Tellima
51656,51655,10,1729,Tellima grandiflora
71289,47131,30,,Grossulariaceae
47131,47130,20,,Ribes
47130,50824,10,573,Ribes speciosum
47130,53435,10,1063,Ribes sanguineum
47130,78854,10,1263,Ribes cereum
47130,55552,10,1320,Ribes roezlii
47130,55544,10,1630,Ribes aureum
71289,49660,30,,Hamamelidaceae
49660,51971,20,,Hamamelis
51971,51970,10,626,Hamamelis virginiana
71289,71434,30,,Altingiaceae
71434,49661,20,,Liquidambar
49661,49658,10,685,Liquidambar styraciflua
47124,60244,40,,Piperales
60244,60246,30,,Saururaceae
60246,60247,20,,Anemopsis
60247,60241,10,222,Anemopsis californica
60246,60743,20,,Saururus
60743,60742,10,770,Saururus cernuus
60244,52860,30,,Aristolochiaceae
52860,958334,27,,Aristolochioideae
958334,54464,20,,Aristolochia
54464,55190,10,794,Aristolochia californica
52860,958333,27,,Asaroideae
958333,52861,20,,Asarum
52861,52858,10,881,Asarum caudatum
52861,56325,10,1817,Asarum canadense
958333,122149,20,,Hexastylis
122149,122183,10,1894,Hexastylis arifolia
60244,71604,30,,Piperaceae
71604,83584,20,,Piper
83584,404899,10,803,Piper excelsum
404899,466004,5,1835,Piper excelsum excelsum
47124,48808,40,,Laurales
48808,71569,30,,Monimiaceae
71569,378987,20,,Hedycarya
378987,402414,10,224,Hedycarya arborea
48808,49118,30,,Calycanthaceae
49118,63974,20,,Calycanthus
63974,126485,10,843,Calycanthus floridus
63974,63962,10,1658,Calycanthus occidentalis
48808,48809,30,,Lauraceae
48809,48810,20,,Umbellularia
48810,48807,10,1043,Umbellularia californica
48809,62848,20,,Persea
62848,62831,10,1359,Persea americana
48809,54796,20,,Sassafras
54796,54795,10,1409,Sassafras albidum
48809,184641,20,,Beilschmiedia
184641,366613,10,1531,Beilschmiedia tawa
48809,54794,20,,Lindera
54794,54793,10,1808,Lindera benzoin
48808,71447,30,,Atherospermataceae
71447,186187,20,,Laurelia
186187,186188,10,1496,Laurelia novae-zelandiae
47124,71291,40,,Vitales
71291,50279,30,,Vitaceae
50279,50280,20,,Parthenocissus
50280,50278,10,250,Parthenocissus quinquefolia
50279,60773,20,,Vitis
60773,142776,10,811,Vitis mustangensis
60773,82529,10,859,Vitis rotundifolia
60773,119936,10,1287,Vitis riparia
60773,63923,10,1638,Vitis californica
50279,72056,20,,Cissus
